[14-03-2026 16:00:59] CPU Usage: 0.74% | Runtime: 123s | Cores: 4
[14-03-2026 16:02:59] CPU Usage: 0.04% | Runtime: 243s | Cores: 4
[14-03-2026 16:04:59] CPU Usage: 0.01% | Runtime: 363s | Cores: 4
[14-03-2026 16:07:00] CPU Usage: 0.08% | Runtime: 483s | Cores: 4
[14-03-2026 16:09:00] CPU Usage: 2.26% | Runtime: 604s | Cores: 4
[14-03-2026 16:11:00] CPU Usage: 2.50% | Runtime: 724s | Cores: 4
[14-03-2026 16:13:00] CPU Usage: 1.24% | Runtime: 844s | Cores: 4
[14-03-2026 16:15:00] CPU Usage: 0.03% | Runtime: 964s | Cores: 4
[14-03-2026 16:17:00] CPU Usage: 0.46% | Runtime: 1084s | Cores: 4
[14-03-2026 16:19:00] CPU Usage: 0.21% | Runtime: 1204s | Cores: 4
[14-03-2026 16:21:00] CPU Usage: 0.69% | Runtime: 1324s | Cores: 4
[14-03-2026 16:23:00] CPU Usage: 0.20% | Runtime: 1444s | Cores: 4
[14-03-2026 16:27:35] CPU Usage: 1.42% | Runtime: 122s | Cores: 4
[14-03-2026 16:29:35] CPU Usage: 1.30% | Runtime: 242s | Cores: 4
[14-03-2026 16:31:35] CPU Usage: 1.86% | Runtime: 362s | Cores: 4
[14-03-2026 16:33:35] CPU Usage: 2.69% | Runtime: 482s | Cores: 4
[14-03-2026 16:35:35] CPU Usage: 3.51% | Runtime: 602s | Cores: 4
[14-03-2026 16:37:35] CPU Usage: 3.78% | Runtime: 722s | Cores: 4
[14-03-2026 16:42:49] CPU Usage: 2.99% | Runtime: 123s | Cores: 4
[14-03-2026 16:44:49] CPU Usage: 0.04% | Runtime: 243s | Cores: 4
